GEO_ID,NAME,Total Population,Asian-Indian,Asian-Indian-Proportion,Chinese,Chinese-Proportion,Filipino,Filipino Proportion,Japanese,Japanese-Proportion,Korean,Korean-Proportion,Vietnamese,Vietnamese-Proportion
0500000US01115,"St. Clair County, Alabama",91719,140,0.153%,24,0.026%,111,0.121%,5,0.005%,36,0.039%,0,0.000%
0500000US01117,"Shelby County, Alabama",223916,913,0.408%,957,0.427%,326,0.146%,71,0.032%,373,0.167%,1219,0.544%
0500000US01119,"Sumter County, Alabama",12196,0,0.000%,31,0.254%,5,0.041%,16,0.131%,0,0.000%,0,0.000%
0500000US01121,"Talladega County, Alabama",81105,10,0.012%,5,0.006%,65,0.080%,17,0.021%,151,0.186%,40,0.049%
0500000US01123,"Tallapoosa County, Alabama",41251,16,0.039%,47,0.114%,9,0.022%,0,0.000%,116,0.281%,0,0.000%
0500000US01125,"Tuscaloosa County, Alabama",231558,822,0.355%,1113,0.481%,338,0.146%,157,0.068%,199,0.086%,633,0.273%
0500000US01127,"Walker County, Alabama",64978,44,0.068%,24,0.037%,0,0.000%,18,0.028%,37,0.057%,0,0.000%
0500000US01129,"Washington County, Alabama",15434,0,0.000%,47,0.305%,15,0.097%,0,0.000%,0,0.000%,0,0.000%
0500000US01131,"Wilcox County, Alabama",10441,0,0.000%,0,0.000%,4,0.038%,0,0.000%,0,0.000%,0,0.000%
0500000US01133,"Winston County, Alabama",23655,6,0.025%,18,0.076%,37,0.156%,27,0.114%,0,0.000%,0,0.000%
0500000US02013,"Aleutians East Borough, Alaska",3407,0,0.000%,0,0.000%,617,18.110%,5,0.147%,30,0.881%,20,0.587%
0500000US02016,"Aleutians West Census Area, Alaska",5219,3,0.057%,8,0.153%,1845,35.352%,12,0.230%,65,1.245%,132,2.529%
0500000US02020,"Anchorage Municipality, Alaska",290674,760,0.261%,1339,0.461%,14182,4.879%,836,0.288%,2620,0.901%,389,0.134%
0500000US02050,"Bethel Census Area, Alaska",18538,17,0.092%,0,0.000%,84,0.453%,0,0.000%,157,0.847%,0,0.000%
0500000US02060,"Bristol Bay Borough, Alaska",854,0,0.000%,0,0.000%,47,5.504%,1,0.117%,0,0.000%,0,0.000%
0500000US02063,"Chugach Census Area, Alaska",7000,0,0.000%,17,0.243%,428,6.114%,26,0.371%,0,0.000%,18,0.257%
0500000US02066,"Copper River Census Area, Alaska",2614,0,0.000%,0,0.000%,1,0.038%,0,0.000%,11,0.421%,0,0.000%
0500000US02068,"Denali Borough, Alaska",2101,0,0.000%,12,0.571%,61,2.903%,0,0.000%,0,0.000%,0,0.000%
0500000US02070,"Dillingham Census Area, Alaska",4854,36,0.742%,0,0.000%,19,0.391%,10,0.206%,7,0.144%,6,0.124%
0500000US02090,"Fairbanks North Star Borough, Alaska",96299,50,0.052%,606,0.629%,722,0.750%,221,0.229%,978,1.016%,155,0.161%
0500000US02100,"Haines Borough, Alaska",2079,0,0.000%,0,0.000%,40,1.924%,0,0.000%,0,0.000%,0,0.000%
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2329,0,0.000%,0,0.000%,19,0.816%,0,0.000%,0,0.000%,0,0.000%
0500000US02110,"Juneau City and Borough, Alaska",32108,47,0.146%,235,0.732%,1653,5.148%,75,0.234%,73,0.227%,0,0.000%
0500000US02122,"Kenai Peninsula Borough, Alaska",59235,7,0.012%,108,0.182%,597,1.008%,118,0.199%,83,0.140%,42,0.071%
0500000US02130,"Ketchikan Gateway Borough, Alaska",13910,54,0.388%,7,0.050%,1088,7.822%,10,0.072%,6,0.043%,8,0.058%
0500000US02150,"Kodiak Island Borough, Alaska",13065,0,0.000%,0,0.000%,2887,22.097%,21,0.161%,28,0.214%,6,0.046%
0500000US02158,"Kusilvak Census Area, Alaska",8372,0,0.000%,0,0.000%,14,0.167%,0,0.000%,0,0.000%,0,0.000%
0500000US02164,"Lake and Peninsula Borough, Alaska",999,0,0.000%,0,0.000%,35,3.504%,0,0.000%,0,0.000%,0,0.000%
0500000US02170,"Matanuska-Susitna Borough, Alaska",108661,49,0.045%,187,0.172%,671,0.618%,75,0.069%,267,0.246%,74,0.068%
0500000US02180,"Nome Census Area, Alaska",10018,9,0.090%,3,0.030%,34,0.339%,0,0.000%,51,0.509%,0,0.000%
0500000US02185,"North Slope Borough, Alaska",10924,39,0.357%,1,0.009%,563,5.154%,0,0.000%,29,0.265%,0,0.000%
0500000US02188,"Northwest Arctic Borough, Alaska",7682,0,0.000%,0,0.000%,59,0.768%,4,0.052%,18,0.234%,6,0.078%
0500000US02195,"Petersburg Borough, Alaska",3374,0,0.000%,62,1.838%,249,7.380%,76,2.253%,48,1.423%,61,1.808%
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5799,0,0.000%,0,0.000%,50,0.862%,2,0.034%,7,0.121%,7,0.121%
0500000US02220,"Sitka City and Borough, Alaska",8462,29,0.343%,12,0.142%,563,6.653%,32,0.378%,16,0.189%,4,0.047%
0500000US02230,"Skagway Municipality, Alaska",1303,0,0.000%,5,0.384%,22,1.688%,2,0.153%,0,0.000%,0,0.000%
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6888,0,0.000%,138,2.003%,52,0.755%,0,0.000%,0,0.000%,0,0.000%
0500000US02275,"Wrangell City and Borough, Alaska",2134,0,0.000%,0,0.000%,12,0.562%,0,0.000%,0,0.000%,0,0.000%
0500000US02282,"Yakutat City and Borough, Alaska",564,0,0.000%,0,0.000%,69,12.234%,37,6.560%,0,0.000%,0,0.000%
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5355,0,0.000%,0,0.000%,68,1.270%,4,0.075%,0,0.000%,0,0.000%
0500000US04001,"Apache County, Arizona",66054,58,0.088%,67,0.101%,164,0.248%,29,0.044%,2,0.003%,54,0.082%
0500000US04003,"Cochise County, Arizona",125504,55,0.044%,164,0.131%,502,0.400%,233,0.186%,700,0.558%,405,0.323%
0500000US04005,"Coconino County, Arizona",144705,337,0.233%,745,0.515%,664,0.459%,121,0.084%,145,0.100%,117,0.081%
0500000US04007,"Gila County, Arizona",53419,41,0.077%,10,0.019%,85,0.159%,41,0.077%,59,0.110%,1,0.002%
0500000US04009,"Graham County, Arizona",38453,9,0.023%,0,0.000%,259,0.674%,0,0.000%,0,0.000%,0,0.000%
0500000US04011,"Greenlee County, Arizona",9483,0,0.000%,0,0.000%,13,0.137%,0,0.000%,9,0.095%,0,0.000%
0500000US04012,"La Paz County, Arizona",16681,60,0.360%,0,0.000%,88,0.528%,5,0.030%,0,0.000%,0,0.000%
0500000US04013,"Maricopa County, Arizona",4430871,55313,1.248%,34405,0.776%,31983,0.722%,7844,0.177%,10188,0.230%,23316,0.526%
0500000US04015,"Mohave County, Arizona",214229,189,0.088%,166,0.077%,965,0.450%,159,0.074%,216,0.101%,156,0.073%
0500000US04017,"Navajo County, Arizona",107110,6,0.006%,117,0.109%,138,0.129%,54,0.050%,40,0.037%,14,0.013%
0500000US04019,"Pima County, Arizona",1042393,4731,0.454%,7638,0.733%,5164,0.495%,1654,0.159%,2986,0.286%,3299,0.316%
0500000US04021,"Pinal County, Arizona",433338,564,0.130%,616,0.142%,2788,0.643%,445,0.103%,874,0.202%,429,0.099%
0500000US04023,"Santa Cruz County, Arizona",47838,3,0.006%,9,0.019%,18,0.038%,0,0.000%,1,0.002%,0,0.000%
0500000US04025,"Yavapai County, Arizona",237830,177,0.074%,719,0.302%,333,0.140%,354,0.149%,205,0.086%,326,0.137%
0500000US04027,"Yuma County, Arizona",204374,247,0.121%,98,0.048%,921,0.451%,148,0.072%,166,0.081%,282,0.138%
0500000US05001,"Arkansas County, Arkansas",17024,2,0.012%,6,0.035%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05003,"Ashley County, Arkansas",19018,0,0.000%,0,0.000%,5,0.026%,14,0.074%,6,0.032%,0,0.000%
0500000US05005,"Baxter County, Arkansas",41801,10,0.024%,29,0.069%,28,0.067%,0,0.000%,102,0.244%,5,0.012%
0500000US05007,"Benton County, Arkansas",286528,6912,2.412%,860,0.300%,923,0.322%,91,0.032%,510,0.178%,1070,0.373%
0500000US05009,"Boone County, Arkansas",37662,0,0.000%,50,0.133%,83,0.220%,0,0.000%,0,0.000%,3,0.008%
0500000US05011,"Bradley County, Arkansas",10461,0,0.000%,0,0.000%,0,0.000%,6,0.057%,0,0.000%,0,0.000%
0500000US05013,"Calhoun County, Arkansas",4773,8,0.168%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05015,"Carroll County, Arkansas",28362,0,0.000%,2,0.007%,244,0.860%,0,0.000%,6,0.021%,0,0.000%
0500000US05017,"Chicot County, Arkansas",10234,0,0.000%,21,0.205%,5,0.049%,0,0.000%,0,0.000%,0,0.000%
0500000US05019,"Clark County, Arkansas",21469,0,0.000%,116,0.540%,4,0.019%,7,0.033%,0,0.000%,8,0.037%
0500000US05021,"Clay County, Arkansas",14537,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,6,0.041%
0500000US05023,"Cleburne County, Arkansas",24948,21,0.084%,0,0.000%,0,0.000%,26,0.104%,6,0.024%,0,0.000%
0500000US05025,"Cleveland County, Arkansas",7548,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05027,"Columbia County, Arkansas",22707,5,0.022%,0,0.000%,3,0.013%,0,0.000%,0,0.000%,31,0.137%
0500000US05029,"Conway County, Arkansas",20782,0,0.000%,76,0.366%,9,0.043%,0,0.000%,0,0.000%,0,0.000%
0500000US05031,"Craighead County, Arkansas",111038,139,0.125%,476,0.429%,163,0.147%,16,0.014%,53,0.048%,185,0.167%
0500000US05033,"Crawford County, Arkansas",60593,0,0.000%,17,0.028%,21,0.035%,0,0.000%,42,0.069%,60,0.099%
0500000US05035,"Crittenden County, Arkansas",47945,58,0.121%,37,0.077%,115,0.240%,6,0.013%,56,0.117%,72,0.150%
0500000US05037,"Cross County, Arkansas",16827,0,0.000%,5,0.030%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05039,"Dallas County, Arkansas",6472,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05041,"Desha County, Arkansas",11285,0,0.000%,25,0.222%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05043,"Drew County, Arkansas",17309,87,0.503%,32,0.185%,6,0.035%,0,0.000%,0,0.000%,0,0.000%
0500000US05045,"Faulkner County, Arkansas",124611,275,0.221%,190,0.152%,132,0.106%,69,0.055%,317,0.254%,70,0.056%
0500000US05047,"Franklin County, Arkansas",17160,1,0.006%,25,0.146%,16,0.093%,0,0.000%,6,0.035%,0,0.000%
0500000US05049,"Fulton County, Arkansas",12183,0,0.000%,0,0.000%,4,0.033%,0,0.000%,0,0.000%,0,0.000%
0500000US05051,"Garland County, Arkansas",100021,267,0.267%,29,0.029%,72,0.072%,56,0.056%,56,0.056%,176,0.176%
0500000US05053,"Grant County, Arkansas",18022,0,0.000%,52,0.289%,12,0.067%,0,0.000%,0,0.000%,0,0.000%
0500000US05055,"Greene County, Arkansas",45954,0,0.000%,51,0.111%,5,0.011%,0,0.000%,0,0.000%,0,0.000%
0500000US05057,"Hempstead County, Arkansas",20037,19,0.095%,0,0.000%,0,0.000%,2,0.010%,0,0.000%,0,0.000%
0500000US05059,"Hot Spring County, Arkansas",33129,0,0.000%,1,0.003%,13,0.039%,0,0.000%,0,0.000%,0,0.000%
0500000US05061,"Howard County, Arkansas",12779,0,0.000%,84,0.657%,20,0.157%,0,0.000%,0,0.000%,0,0.000%
0500000US05063,"Independence County, Arkansas",37910,27,0.071%,42,0.111%,72,0.190%,0,0.000%,0,0.000%,113,0.298%
0500000US05065,"Izard County, Arkansas",13748,0,0.000%,0,0.000%,5,0.036%,0,0.000%,0,0.000%,0,0.000%
0500000US05067,"Jackson County, Arkansas",16784,19,0.113%,0,0.000%,0,0.000%,0,0.000%,7,0.042%,0,0.000%
0500000US05069,"Jefferson County, Arkansas",66934,264,0.394%,2,0.003%,74,0.111%,0,0.000%,25,0.037%,87,0.130%
0500000US05071,"Johnson County, Arkansas",25925,0,0.000%,40,0.154%,96,0.370%,0,0.000%,54,0.208%,92,0.355%
0500000US05073,"Lafayette County, Arkansas",6277,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05075,"Lawrence County, Arkansas",16258,0,0.000%,0,0.000%,9,0.055%,0,0.000%,0,0.000%,0,0.000%
0500000US05077,"Lee County, Arkansas",8666,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,16,0.185%
0500000US05079,"Lincoln County, Arkansas",13016,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05081,"Little River County, Arkansas",12024,0,0.000%,0,0.000%,11,0.091%,0,0.000%,0,0.000%,16,0.133%
0500000US05083,"Logan County, Arkansas",21247,1,0.005%,53,0.249%,3,0.014%,0,0.000%,0,0.000%,8,0.038%
0500000US05085,"Lonoke County, Arkansas",74292,0,0.000%,63,0.085%,220,0.296%,78,0.105%,48,0.065%,115,0.155%
0500000US05087,"Madison County, Arkansas",16737,64,0.382%,0,0.000%,55,0.329%,4,0.024%,2,0.012%,10,0.060%
0500000US05089,"Marion County, Arkansas",16905,31,0.183%,11,0.065%,5,0.030%,12,0.071%,0,0.000%,0,0.000%
0500000US05091,"Miller County, Arkansas",42682,0,0.000%,0,0.000%,28,0.066%,0,0.000%,0,0.000%,0,0.000%
0500000US05093,"Mississippi County, Arkansas",40361,54,0.134%,11,0.027%,7,0.017%,5,0.012%,0,0.000%,22,0.055%
0500000US05095,"Monroe County, Arkansas",6787,0,0.000%,0,0.000%,9,0.133%,0,0.000%,0,0.000%,13,0.192%
0500000US05097,"Montgomery County, Arkansas",8555,0,0.000%,0,0.000%,7,0.082%,0,0.000%,0,0.000%,0,0.000%
0500000US05099,"Nevada County, Arkansas",8292,0,0.000%,0,0.000%,13,0.157%,0,0.000%,0,0.000%,0,0.000%
0500000US05101,"Newton County, Arkansas",7243,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05103,"Ouachita County, Arkansas",22606,0,0.000%,0,0.000%,5,0.022%,0,0.000%,0,0.000%,3,0.013%
0500000US05105,"Perry County, Arkansas",10055,0,0.000%,0,0.000%,7,0.070%,0,0.000%,0,0.000%,0,0.000%
0500000US05107,"Phillips County, Arkansas",16373,0,0.000%,0,0.000%,93,0.568%,0,0.000%,0,0.000%,0,0.000%
0500000US05109,"Pike County, Arkansas",10205,20,0.196%,0,0.000%,8,0.078%,0,0.000%,0,0.000%,0,0.000%
0500000US05111,"Poinsett County, Arkansas",22997,1,0.004%,0,0.000%,2,0.009%,0,0.000%,0,0.000%,2,0.009%
0500000US05113,"Polk County, Arkansas",19384,34,0.175%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05115,"Pope County, Arkansas",63475,160,0.252%,196,0.309%,45,0.071%,3,0.005%,39,0.061%,129,0.203%
0500000US05117,"Prairie County, Arkansas",8217,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05119,"Pulaski County, Arkansas",398322,2164,0.543%,1031,0.259%,1777,0.446%,219,0.055%,552,0.139%,493,0.124%
0500000US05121,"Randolph County, Arkansas",18619,32,0.172%,4,0.021%,27,0.145%,0,0.000%,8,0.043%,0,0.000%
0500000US05123,"St. Francis County, Arkansas",23138,16,0.069%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05125,"Saline County, Arkansas",123988,225,0.181%,565,0.456%,70,0.056%,0,0.000%,142,0.115%,274,0.221%
0500000US05127,"Scott County, Arkansas",9871,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,53,0.537%
0500000US05129,"Searcy County, Arkansas",7880,0,0.000%,3,0.038%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05131,"Sebastian County, Arkansas",128184,147,0.115%,164,0.128%,413,0.322%,0,0.000%,135,0.105%,1998,1.559%
0500000US05133,"Sevier County, Arkansas",15913,0,0.000%,1,0.006%,0,0.000%,0,0.000%,0,0.000%,43,0.270%
0500000US05135,"Sharp County, Arkansas",17422,0,0.000%,0,0.000%,0,0.000%,0,0.000%,26,0.149%,0,0.000%
0500000US05137,"Stone County, Arkansas",12393,26,0.210%,4,0.032%,17,0.137%,0,0.000%,0,0.000%,0,0.000%
0500000US05139,"Union County, Arkansas",38815,76,0.196%,100,0.258%,58,0.149%,0,0.000%,36,0.093%,24,0.062%
0500000US05141,"Van Buren County, Arkansas",15900,0,0.000%,0,0.000%,32,0.201%,18,0.113%,0,0.000%,0,0.000%
0500000US05143,"Washington County, Arkansas",247331,558,0.226%,1258,0.509%,535,0.216%,312,0.126%,139,0.056%,420,0.170%
0500000US05145,"White County, Arkansas",77118,23,0.030%,205,0.266%,24,0.031%,20,0.026%,13,0.017%,38,0.049%
0500000US05147,"Woodruff County, Arkansas",6259,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
0500000US05149,"Yell County, Arkansas",20342,0,0.000%,0,0.000%,0,0.000%,0,0.000%,16,0.079%,0,0.000%
0500000US06001,"Alameda County, California",1663823,146663,8.815%,183632,11.037%,87276,5.246%,11275,0.678%,20100,1.208%,33361,2.005%
0500000US06003,"Alpine County, California",1515,0,0.000%,0,0.000%,0,0.000%,2,0.132%,1,0.066%,0,0.000%
0500000US06005,"Amador County, California",40577,11,0.027%,56,0.138%,224,0.552%,25,0.062%,30,0.074%,10,0.025%
0500000US06007,"Butte County, California",213605,806,0.377%,1309,0.613%,1206,0.565%,250,0.117%,481,0.225%,479,0.224%
0500000US06009,"Calaveras County, California",45674,0,0.000%,244,0.534%,343,0.751%,46,0.101%,19,0.042%,29,0.063%
0500000US06011,"Colusa County, California",21811,3,0.014%,2,0.009%,89,0.408%,0,0.000%,0,0.000%,4,0.018%
0500000US06013,"Contra Costa County, California",1162648,39628,3.408%,55407,4.766%,56474,4.857%,7710,0.663%,10486,0.902%,11363,0.977%
0500000US06015,"Del Norte County, California",27462,31,0.113%,65,0.237%,104,0.379%,24,0.087%,139,0.506%,19,0.069%
0500000US06017,"El Dorado County, California",191713,1655,0.863%,1474,0.769%,3469,1.809%,570,0.297%,596,0.311%,764,0.399%
0500000US06019,"Fresno County, California",1008280,21129,2.096%,8328,0.826%,12801,1.270%,3353,0.333%,1936,0.192%,4302,0.427%
0500000US06021,"Glenn County, California",28657,13,0.045%,256,0.893%,72,0.251%,41,0.143%,0,0.000%,73,0.255%
0500000US06023,"Humboldt County, California",136132,186,0.137%,883,0.649%,537,0.394%,222,0.163%,182,0.134%,329,0.242%
0500000US06025,"Imperial County, California",179578,307,0.171%,640,0.356%,454,0.253%,272,0.151%,650,0.362%,153,0.085%
0500000US06027,"Inyo County, California",18829,52,0.276%,52,0.276%,141,0.749%,33,0.175%,26,0.138%,8,0.042%
0500000US06029,"Kern County, California",906883,12152,1.340%,4427,0.488%,18257,2.013%,1106,0.122%,1915,0.211%,2643,0.291%
0500000US06031,"Kings County, California",152515,83,0.054%,631,0.414%,3505,2.298%,274,0.180%,182,0.119%,179,0.117%
0500000US06033,"Lake County, California",68024,13,0.019%,103,0.151%,292,0.429%,82,0.121%,129,0.190%,34,0.050%
0500000US06035,"Lassen County, California",31873,0,0.000%,116,0.364%,197,0.618%,15,0.047%,29,0.091%,38,0.119%
0500000US06037,"Los Angeles County, California",9936690,99158,0.998%,469201,4.722%,335080,3.372%,96020,0.966%,203328,2.046%,97523,0.981%
0500000US06039,"Madera County, California",157243,1440,0.916%,681,0.433%,423,0.269%,59,0.038%,82,0.052%,238,0.151%
0500000US06041,"Marin County, California",260485,2284,0.877%,4915,1.887%,2139,0.821%,1701,0.653%,1519,0.583%,1587,0.609%
0500000US06043,"Mariposa County, California",17130,0,0.000%,27,0.158%,84,0.490%,28,0.163%,29,0.169%,4,0.023%
0500000US06045,"Mendocino County, California",91145,24,0.026%,776,0.851%,415,0.455%,114,0.125%,207,0.227%,82,0.090%
0500000US06047,"Merced County, California",282290,6273,2.222%,1134,0.402%,2061,0.730%,276,0.098%,640,0.227%,619,0.219%
